ID,Zona,Latitud,Longitud,Prioridad,Tipo,Fecha
I-039,Zona_07,-38.7685,-72.6098,Alta,Accidente Vial,2026-07-05 15:07:00
I-040,Zona_12,-38.7601,-72.6171,Crítica,Inundacion,2026-07-05 00:43:00
I-041,Zona_08,-38.7829,-72.5406,Media,Incendio,2026-07-02 00:31:00
I-042,Zona_19,-38.7772,-72.6066,Media,Inundacion,2026-07-01 10:52:00
I-043,Zona_03,-38.7153,-72.5594,Baja,Medico,2026-07-01 08:58:00
I-044,Zona_11,-38.7578,-72.6455,Baja,Inundacion,2026-07-01 12:17:00
I-045,Zona_16,-38.7193,-72.5405,Media,Inundacion,2026-07-02 22:01:00
I-046,Zona_19,-38.778,-72.5616,Crítica,Medico,2026-07-05 10:45:00
I-047,Zona_14,-38.701,-72.554,Media,Incendio,2026-07-05 22:15:00
I-048,Zona_14,-38.7973,-72.6202,Alta,Accidente Vial,2026-07-05 01:58:00
I-049,Zona_02,-38.7733,-72.5095,Baja,Incendio,2026-07-03 23:45:00
I-050,Zona_11,-38.763,-72.6186,Baja,Medico,2026-07-05 11:25:00
I-051,Zona_18,-38.7043,-72.5995,Crítica,Medico,2026-07-02 09:58:00
I-052,Zona_09,-38.7352,-72.5586,Crítica,Medico,2026-07-02 09:03:00
I-053,Zona_18,-38.7578,-72.6455,Baja,Incendio,2026-07-03 20:30:00
I-054,Zona_01,-38.7415,-72.5153,Baja,Medico,2026-07-04 09:48:00
I-055,Zona_16,-38.7194,-72.5453,Crítica,Medico,2026-07-03 15:29:00
I-056,Zona_06,-38.763,-72.6186,Crítica,Incendio,2026-07-01 16:00:00
I-057,Zona_15,-38.7364,-72.5953,Alta,Accidente Vial,2026-07-02 20:12:00
I-058,Zona_18,-38.7909,-72.6429,Crítica,Medico,2026-07-05 11:44:00
I-059,Zona_07,-38.7043,-72.5995,Baja,Inundacion,2026-07-03 00:30:00
I-060,Zona_02,-38.7936,-72.5928,Alta,Incendio,2026-07-04 10:01:00
I-061,Zona_16,-38.7108,-72.637,Media,Incendio,2026-07-04 15:45:00
I-062,Zona_06,-38.7157,-72.5336,Baja,Inundacion,2026-07-01 18:56:00
I-063,Zona_08,-38.7578,-72.6455,Crítica,Incendio,2026-07-05 04:11:00
I-064,Zona_19,-38.7124,-72.6028,Baja,Inundacion,2026-07-02 17:36:00
I-065,Zona_19,-38.7781,-72.5742,Alta,Rescate,2026-07-03 17:14:00
I-066,Zona_11,-38.7907,-72.6355,Media,Rescate,2026-07-05 03:26:00
I-067,Zona_10,-38.763,-72.6186,Crítica,Rescate,2026-07-02 01:52:00
I-068,Zona_01,-38.7004,-72.5706,Crítica,Inundacion,2026-07-01 17:54:00
I-069,Zona_03,-38.7124,-72.6028,Media,Inundacion,2026-07-01 21:39:00
I-070,Zona_12,-38.7464,-72.504,Baja,Medico,2026-07-02 02:05:00
I-071,Zona_06,-38.7899,-72.6083,Crítica,Inundacion,2026-07-02 22:54:00
I-072,Zona_20,-38.789,-72.5559,Baja,Inundacion,2026-07-03 01:18:00
I-073,Zona_04,-38.7138,-72.5634,Media,Rescate,2026-07-05 02:34:00
I-074,Zona_18,-38.735,-72.5683,Media,Rescate,2026-07-01 22:36:00
I-075,Zona_07,-38.7171,-72.5572,Alta,Medico,2026-07-04 18:34:00
I-076,Zona_09,-38.7002,-72.5736,Crítica,Rescate,2026-07-04 22:35:00
I-077,Zona_14,-38.7108,-72.637,Alta,Incendio,2026-07-01 20:36:00
I-078,Zona_05,-38.7361,-72.6462,Alta,Medico,2026-07-03 05:32:00
I-079,Zona_18,-38.7936,-72.5928,Crítica,Inundacion,2026-07-03 20:19:00
I-080,Zona_03,-38.7361,-72.6462,Media,Inundacion,2026-07-01 23:16:00
I-081,Zona_12,-38.7264,-72.5485,Media,Accidente Vial,2026-07-06 01:57:00
I-082,Zona_10,-38.778,-72.5616,Alta,Incendio,2026-07-01 13:42:00
I-083,Zona_08,-38.792,-72.6151,Baja,Rescate,2026-07-02 12:40:00
I-084,Zona_14,-38.7029,-72.5209,Media,Medico,2026-07-04 12:26:00
I-085,Zona_06,-38.7194,-72.5453,Crítica,Incendio,2026-07-05 21:12:00
I-086,Zona_11,-38.766,-72.6267,Crítica,Medico,2026-07-05 12:33:00
I-087,Zona_04,-38.7621,-72.5672,Crítica,Incendio,2026-07-02 05:44:00
I-088,Zona_07,-38.701,-72.554,Crítica,Rescate,2026-07-02 14:22:00
I-089,Zona_08,-38.7138,-72.5634,Media,Incendio,2026-07-06 00:01:00
I-090,Zona_13,-38.7601,-72.6171,Alta,Rescate,2026-07-02 10:22:00
I-091,Zona_09,-38.7578,-72.6455,Alta,Inundacion,2026-07-05 17:35:00
I-092,Zona_18,-38.763,-72.6186,Alta,Incendio,2026-07-05 04:46:00
I-093,Zona_09,-38.735,-72.5683,Media,Inundacion,2026-07-06 07:44:00
I-094,Zona_04,-38.7464,-72.504,Crítica,Rescate,2026-07-01 13:13:00
I-095,Zona_11,-38.7208,-72.5867,Crítica,Inundacion,2026-07-05 19:22:00
I-096,Zona_13,-38.7157,-72.5336,Media,Rescate,2026-07-01 23:47:00
I-097,Zona_14,-38.7264,-72.5485,Baja,Inundacion,2026-07-05 08:46:00
I-098,Zona_07,-38.7685,-72.6098,Alta,Accidente Vial,2026-07-05 05:46:00
I-099,Zona_11,-38.7578,-72.6455,Alta,Incendio,2026-07-05 02:41:00
I-100,Zona_17,-38.7208,-72.5867,Alta,Accidente Vial,2026-07-03 01:00:00
I-101,Zona_10,-38.7295,-72.6431,Media,Medico,2026-07-03 14:56:00
I-102,Zona_13,-38.7733,-72.5095,Media,Inundacion,2026-07-05 02:47:00
I-103,Zona_13,-38.7124,-72.6028,Baja,Rescate,2026-07-03 01:05:00
I-104,Zona_14,-38.7171,-72.5572,Alta,Accidente Vial,2026-07-02 12:41:00
I-105,Zona_07,-38.7829,-72.5406,Crítica,Medico,2026-07-03 20:22:00
I-106,Zona_10,-38.7601,-72.6171,Alta,Incendio,2026-07-01 19:34:00
I-107,Zona_10,-38.7004,-72.5706,Media,Medico,2026-07-02 16:04:00
I-108,Zona_02,-38.7191,-72.649,Media,Accidente Vial,2026-07-01 11:20:00
I-109,Zona_03,-38.7735,-72.613,Crítica,Accidente Vial,2026-07-06 04:01:00
I-110,Zona_07,-38.7439,-72.6106,Crítica,Accidente Vial,2026-07-04 14:35:00
I-111,Zona_05,-38.763,-72.6186,Baja,Incendio,2026-07-02 17:18:00
I-112,Zona_08,-38.7029,-72.5209,Media,Inundacion,2026-07-03 18:02:00
I-113,Zona_18,-38.7837,-72.5931,Media,Incendio,2026-07-01 14:51:00
I-114,Zona_15,-38.7837,-72.5931,Alta,Accidente Vial,2026-07-02 02:12:00
I-115,Zona_17,-38.7735,-72.613,Crítica,Inundacion,2026-07-05 23:16:00
I-116,Zona_16,-38.7829,-72.5406,Crítica,Rescate,2026-07-02 05:43:00
I-117,Zona_09,-38.7004,-72.5706,Crítica,Medico,2026-07-02 17:45:00
I-118,Zona_03,-38.7621,-72.5672,Alta,Medico,2026-07-03 20:03:00
I-119,Zona_11,-38.7621,-72.5672,Baja,Medico,2026-07-03 05:51:00
I-120,Zona_13,-38.7191,-72.649,Media,Medico,2026-07-02 15:34:00
I-121,Zona_14,-38.7578,-72.6455,Alta,Inundacion,2026-07-03 16:38:00
I-122,Zona_02,-38.7837,-72.5931,Media,Accidente Vial,2026-07-03 16:46:00
I-123,Zona_19,-38.7364,-72.5953,Baja,Inundacion,2026-07-05 17:06:00
I-124,Zona_01,-38.7364,-72.5953,Alta,Rescate,2026-07-04 01:07:00
I-125,Zona_14,-38.7004,-72.5706,Media,Accidente Vial,2026-07-03 13:14:00
I-126,Zona_14,-38.7153,-72.5594,Crítica,Incendio,2026-07-02 21:15:00
I-127,Zona_13,-38.7364,-72.5953,Media,Accidente Vial,2026-07-03 05:53:00
I-128,Zona_18,-38.778,-72.5616,Baja,Accidente Vial,2026-07-04 20:57:00
I-129,Zona_01,-38.7345,-72.5907,Baja,Accidente Vial,2026-07-04 13:03:00
I-130,Zona_15,-38.778,-72.5616,Media,Incendio,2026-07-06 06:21:00
I-131,Zona_11,-38.7464,-72.504,Media,Accidente Vial,2026-07-03 11:45:00
I-132,Zona_13,-38.7295,-72.6431,Alta,Accidente Vial,2026-07-03 06:04:00
I-133,Zona_03,-38.7464,-72.504,Crítica,Incendio,2026-07-06 01:59:00
I-134,Zona_02,-38.7936,-72.5928,Alta,Medico,2026-07-04 09:38:00
I-135,Zona_02,-38.7415,-72.5153,Baja,Medico,2026-07-01 17:22:00
I-136,Zona_01,-38.7043,-72.5995,Media,Medico,2026-07-06 02:34:00
I-137,Zona_04,-38.778,-72.5616,Media,Accidente Vial,2026-07-04 00:39:00
I-138,Zona_12,-38.7909,-72.6429,Media,Inundacion,2026-07-02 18:59:00
I-139,Zona_04,-38.7085,-72.5812,Media,Rescate,2026-07-05 14:07:00
I-140,Zona_01,-38.7973,-72.6202,Alta,Inundacion,2026-07-04 15:00:00
I-141,Zona_13,-38.7002,-72.5736,Media,Incendio,2026-07-03 11:14:00
I-142,Zona_08,-38.7345,-72.5907,Baja,Rescate,2026-07-05 06:17:00
I-143,Zona_04,-38.7002,-72.5736,Baja,Rescate,2026-07-04 17:58:00
I-144,Zona_12,-38.7685,-72.6098,Baja,Inundacion,2026-07-03 18:29:00
I-145,Zona_01,-38.7415,-72.5153,Crítica,Accidente Vial,2026-07-03 06:35:00
I-146,Zona_12,-38.7973,-72.6202,Crítica,Medico,2026-07-03 19:11:00
I-147,Zona_17,-38.7352,-72.5586,Alta,Inundacion,2026-07-02 08:02:00
I-148,Zona_16,-38.7685,-72.6098,Crítica,Accidente Vial,2026-07-05 17:45:00
I-149,Zona_09,-38.7208,-72.5867,Alta,Medico,2026-07-04 16:53:00
I-150,Zona_15,-38.7781,-72.5742,Media,Accidente Vial,2026-07-02 22:04:00
I-151,Zona_13,-38.7124,-72.6028,Alta,Incendio,2026-07-04 19:19:00
I-152,Zona_11,-38.7443,-72.5473,Media,Accidente Vial,2026-07-06 04:11:00
I-153,Zona_09,-38.7907,-72.6355,Alta,Rescate,2026-07-03 08:26:00
I-154,Zona_09,-38.7085,-72.5812,Baja,Inundacion,2026-07-05 07:44:00
I-155,Zona_08,-38.7043,-72.5995,Crítica,Accidente Vial,2026-07-01 19:41:00
I-156,Zona_08,-38.7789,-72.5086,Crítica,Accidente Vial,2026-07-05 15:30:00
I-157,Zona_01,-38.7829,-72.5406,Baja,Rescate,2026-07-05 20:15:00
I-158,Zona_08,-38.7153,-72.5594,Alta,Inundacion,2026-07-03 15:12:00
I-159,Zona_18,-38.7899,-72.6083,Alta,Accidente Vial,2026-07-04 00:36:00
I-160,Zona_11,-38.7936,-72.5928,Alta,Accidente Vial,2026-07-04 11:08:00
I-161,Zona_09,-38.7621,-72.5672,Media,Incendio,2026-07-03 01:51:00
I-162,Zona_11,-38.7208,-72.5867,Baja,Inundacion,2026-07-02 10:17:00
I-163,Zona_06,-38.7004,-72.5706,Media,Medico,2026-07-05 06:13:00
I-164,Zona_09,-38.7936,-72.5928,Alta,Incendio,2026-07-04 02:06:00
I-165,Zona_08,-38.7043,-72.5995,Alta,Medico,2026-07-03 00:26:00
I-166,Zona_18,-38.7138,-72.5634,Media,Rescate,2026-07-01 09:55:00
I-167,Zona_18,-38.7264,-72.5485,Alta,Medico,2026-07-01 15:26:00
I-168,Zona_16,-38.7439,-72.6106,Baja,Incendio,2026-07-06 06:34:00
I-169,Zona_16,-38.7124,-72.6028,Crítica,Accidente Vial,2026-07-02 22:49:00
I-170,Zona_02,-38.7772,-72.6066,Alta,Accidente Vial,2026-07-02 09:10:00
I-171,Zona_03,-38.735,-72.5683,Crítica,Accidente Vial,2026-07-06 00:14:00
I-172,Zona_02,-38.7578,-72.6455,Media,Medico,2026-07-04 14:46:00
I-173,Zona_03,-38.7124,-72.6028,Media,Incendio,2026-07-03 01:29:00
I-174,Zona_14,-38.7789,-72.5086,Media,Inundacion,2026-07-05 16:22:00
I-175,Zona_15,-38.7364,-72.5953,Alta,Inundacion,2026-07-03 21:30:00
I-176,Zona_19,-38.7352,-72.5586,Baja,Inundacion,2026-07-03 01:41:00
I-177,Zona_07,-38.7936,-72.5928,Media,Rescate,2026-07-01 21:32:00
I-178,Zona_06,-38.7601,-72.6171,Media,Medico,2026-07-01 19:05:00
I-179,Zona_06,-38.7789,-72.5086,Baja,Accidente Vial,2026-07-01 18:14:00
I-180,Zona_20,-38.7829,-72.5406,Crítica,Rescate,2026-07-05 06:07:00
I-181,Zona_10,-38.7264,-72.5485,Alta,Accidente Vial,2026-07-02 15:36:00
I-182,Zona_08,-38.7578,-72.6455,Alta,Inundacion,2026-07-05 05:51:00
I-183,Zona_07,-38.7601,-72.6171,Crítica,Incendio,2026-07-05 21:45:00
I-184,Zona_05,-38.7685,-72.6098,Alta,Medico,2026-07-02 14:41:00
I-185,Zona_06,-38.7578,-72.6455,Alta,Inundacion,2026-07-01 16:08:00
I-186,Zona_19,-38.7936,-72.5928,Alta,Accidente Vial,2026-07-06 00:32:00
I-187,Zona_10,-38.735,-72.5683,Crítica,Rescate,2026-07-03 23:59:00
I-188,Zona_16,-38.7157,-72.5336,Crítica,Incendio,2026-07-04 09:43:00
I-189,Zona_14,-38.7085,-72.5812,Alta,Inundacion,2026-07-01 13:26:00
I-190,Zona_03,-38.7464,-72.504,Media,Inundacion,2026-07-01 11:31:00
I-191,Zona_09,-38.7345,-72.5907,Baja,Medico,2026-07-01 10:49:00
I-192,Zona_15,-38.701,-72.554,Alta,Medico,2026-07-04 06:51:00
I-193,Zona_16,-38.7345,-72.5907,Baja,Accidente Vial,2026-07-03 19:30:00
I-194,Zona_11,-38.792,-72.6151,Alta,Incendio,2026-07-03 15:45:00
I-195,Zona_14,-38.7194,-72.5453,Crítica,Rescate,2026-07-03 05:01:00
I-196,Zona_18,-38.7601,-72.6171,Baja,Accidente Vial,2026-07-03 14:40:00
I-197,Zona_09,-38.7781,-72.5742,Alta,Incendio,2026-07-03 02:56:00
I-198,Zona_17,-38.7029,-72.5209,Baja,Inundacion,2026-07-03 15:11:00
I-199,Zona_02,-38.7837,-72.5931,Media,Inundacion,2026-07-03 16:25:00
I-200,Zona_16,-38.7899,-72.6083,Crítica,Incendio,2026-07-04 21:00:00
I-201,Zona_18,-38.7907,-72.6355,Media,Rescate,2026-07-02 20:27:00
I-202,Zona_16,-38.7829,-72.5406,Baja,Incendio,2026-07-05 07:20:00
I-203,Zona_08,-38.7439,-72.6106,Media,Rescate,2026-07-04 19:07:00
I-204,Zona_18,-38.7789,-72.5086,Crítica,Incendio,2026-07-01 09:52:00
I-205,Zona_04,-38.7153,-72.5594,Crítica,Incendio,2026-07-06 02:52:00
I-206,Zona_05,-38.7415,-72.5153,Crítica,Rescate,2026-07-06 01:36:00
I-207,Zona_09,-38.7157,-72.5336,Crítica,Accidente Vial,2026-07-05 08:18:00
I-208,Zona_15,-38.701,-72.554,Media,Accidente Vial,2026-07-02 17:16:00
I-209,Zona_17,-38.7043,-72.5995,Media,Incendio,2026-07-04 17:50:00
I-210,Zona_14,-38.7621,-72.5672,Alta,Inundacion,2026-07-05 17:29:00
I-211,Zona_01,-38.7621,-72.5672,Alta,Rescate,2026-07-06 00:01:00
I-212,Zona_16,-38.7345,-72.5907,Media,Accidente Vial,2026-07-04 15:10:00
I-213,Zona_12,-38.7685,-72.6098,Alta,Inundacion,2026-07-04 02:07:00
I-214,Zona_13,-38.7004,-72.5706,Crítica,Rescate,2026-07-04 10:11:00
I-215,Zona_08,-38.7043,-72.5995,Crítica,Medico,2026-07-05 07:13:00
I-216,Zona_02,-38.7029,-72.5209,Alta,Accidente Vial,2026-07-03 16:05:00
I-217,Zona_13,-38.789,-72.5559,Crítica,Medico,2026-07-05 22:47:00
I-218,Zona_05,-38.7443,-72.5473,Alta,Incendio,2026-07-01 13:03:00
I-219,Zona_17,-38.7829,-72.5406,Crítica,Incendio,2026-07-01 21:36:00
I-220,Zona_14,-38.7208,-72.5867,Media,Incendio,2026-07-02 03:40:00
I-221,Zona_09,-38.701,-72.554,Alta,Inundacion,2026-07-05 18:42:00
I-222,Zona_03,-38.7909,-72.6429,Alta,Inundacion,2026-07-03 14:16:00
I-223,Zona_16,-38.7364,-72.5953,Baja,Inundacion,2026-07-03 03:14:00
I-224,Zona_10,-38.7578,-72.6455,Media,Incendio,2026-07-02 16:03:00
I-225,Zona_04,-38.7352,-72.5586,Crítica,Medico,2026-07-01 21:26:00
I-226,Zona_01,-38.7909,-72.6429,Baja,Rescate,2026-07-03 00:53:00
I-227,Zona_12,-38.7108,-72.637,Alta,Accidente Vial,2026-07-03 00:03:00
I-228,Zona_17,-38.7191,-72.649,Crítica,Inundacion,2026-07-02 17:20:00
I-229,Zona_06,-38.7002,-72.5736,Media,Medico,2026-07-05 20:12:00
I-230,Zona_13,-38.7781,-72.5742,Media,Accidente Vial,2026-07-04 19:12:00
I-231,Zona_08,-38.7345,-72.5907,Crítica,Rescate,2026-07-02 03:32:00
I-232,Zona_01,-38.7837,-72.5931,Crítica,Rescate,2026-07-02 18:51:00
I-233,Zona_06,-38.7002,-72.5736,Baja,Accidente Vial,2026-07-04 10:37:00
I-234,Zona_10,-38.792,-72.6151,Crítica,Rescate,2026-07-04 16:13:00
I-235,Zona_10,-38.7837,-72.5931,Media,Accidente Vial,2026-07-06 03:24:00
I-236,Zona_08,-38.701,-72.554,Crítica,Inundacion,2026-07-01 22:33:00
I-237,Zona_10,-38.792,-72.6151,Alta,Incendio,2026-07-04 14:28:00
I-238,Zona_09,-38.7601,-72.6171,Baja,Inundacion,2026-07-03 14:02:00
I-239,Zona_02,-38.7002,-72.5736,Crítica,Rescate,2026-07-05 18:15:00
I-240,Zona_08,-38.7029,-72.5209,Alta,Medico,2026-07-05 21:04:00
I-241,Zona_20,-38.7439,-72.6106,Alta,Medico,2026-07-02 09:57:00
I-242,Zona_02,-38.7439,-72.6106,Alta,Accidente Vial,2026-07-01 21:15:00
I-243,Zona_12,-38.7264,-72.5485,Media,Incendio,2026-07-04 15:07:00
I-244,Zona_14,-38.7171,-72.5572,Media,Medico,2026-07-03 04:36:00
I-245,Zona_18,-38.778,-72.5616,Alta,Inundacion,2026-07-05 19:23:00
I-246,Zona_06,-38.7157,-72.5336,Alta,Accidente Vial,2026-07-02 21:12:00
I-247,Zona_11,-38.7171,-72.5572,Baja,Accidente Vial,2026-07-05 13:55:00
I-248,Zona_08,-38.7578,-72.6455,Crítica,Inundacion,2026-07-02 03:13:00
I-249,Zona_13,-38.7899,-72.6083,Baja,Rescate,2026-07-01 20:19:00
I-250,Zona_15,-38.7685,-72.6098,Alta,Rescate,2026-07-02 00:52:00
I-251,Zona_12,-38.7345,-72.5907,Baja,Medico,2026-07-03 12:01:00
I-252,Zona_20,-38.701,-72.554,Alta,Inundacion,2026-07-01 11:25:00
I-253,Zona_03,-38.7153,-72.5594,Crítica,Rescate,2026-07-05 00:25:00
I-254,Zona_04,-38.7415,-72.5153,Media,Incendio,2026-07-03 15:44:00
I-255,Zona_16,-38.7264,-72.5485,Baja,Incendio,2026-07-03 01:33:00
I-256,Zona_05,-38.7193,-72.5405,Crítica,Accidente Vial,2026-07-04 09:23:00
I-257,Zona_18,-38.7899,-72.6083,Crítica,Inundacion,2026-07-05 03:32:00
I-258,Zona_05,-38.7936,-72.5928,Crítica,Incendio,2026-07-05 11:12:00
I-259,Zona_14,-38.7443,-72.5473,Alta,Incendio,2026-07-04 20:03:00
I-260,Zona_07,-38.7909,-72.6429,Crítica,Accidente Vial,2026-07-03 10:35:00
I-261,Zona_12,-38.7193,-72.5405,Baja,Rescate,2026-07-06 04:47:00
I-262,Zona_12,-38.7685,-72.6098,Baja,Accidente Vial,2026-07-05 00:02:00
I-263,Zona_04,-38.7621,-72.5672,Crítica,Incendio,2026-07-02 09:54:00
I-264,Zona_20,-38.7601,-72.6171,Baja,Incendio,2026-07-02 12:57:00
I-265,Zona_05,-38.7772,-72.6066,Media,Incendio,2026-07-02 17:15:00
I-266,Zona_07,-38.7004,-72.5706,Media,Medico,2026-07-04 11:40:00
I-267,Zona_05,-38.7772,-72.6066,Baja,Rescate,2026-07-05 17:43:00
I-268,Zona_18,-38.7191,-72.649,Alta,Medico,2026-07-02 01:44:00
I-269,Zona_01,-38.735,-72.5683,Media,Incendio,2026-07-05 02:15:00
I-270,Zona_08,-38.792,-72.6151,Alta,Incendio,2026-07-05 19:51:00
I-271,Zona_02,-38.766,-72.6267,Media,Accidente Vial,2026-07-02 20:13:00
I-272,Zona_03,-38.7771,-72.6452,Crítica,Accidente Vial,2026-07-01 23:31:00
I-273,Zona_17,-38.7029,-72.5209,Baja,Accidente Vial,2026-07-03 09:25:00
I-274,Zona_20,-38.7157,-72.5336,Baja,Inundacion,2026-07-02 14:14:00
I-275,Zona_01,-38.7138,-72.5634,Baja,Accidente Vial,2026-07-03 22:32:00
I-276,Zona_04,-38.763,-72.6186,Crítica,Accidente Vial,2026-07-03 18:12:00
I-277,Zona_11,-38.7578,-72.6455,Media,Incendio,2026-07-01 19:01:00
I-278,Zona_20,-38.778,-72.5616,Alta,Accidente Vial,2026-07-02 21:32:00
I-279,Zona_10,-38.7085,-72.5812,Crítica,Inundacion,2026-07-04 08:26:00
I-280,Zona_04,-38.7085,-72.5812,Baja,Inundacion,2026-07-03 18:44:00
I-281,Zona_07,-38.7208,-72.5867,Crítica,Accidente Vial,2026-07-06 06:10:00
I-282,Zona_11,-38.7153,-72.5594,Crítica,Accidente Vial,2026-07-03 16:29:00
I-283,Zona_04,-38.7733,-72.5095,Alta,Accidente Vial,2026-07-05 11:36:00
I-284,Zona_09,-38.7295,-72.6431,Alta,Medico,2026-07-05 02:48:00
I-285,Zona_03,-38.7002,-72.5736,Baja,Incendio,2026-07-04 00:45:00
I-286,Zona_04,-38.7781,-72.5742,Alta,Medico,2026-07-03 18:57:00
I-287,Zona_19,-38.7789,-72.5086,Alta,Incendio,2026-07-01 16:11:00
I-288,Zona_14,-38.7733,-72.5095,Baja,Rescate,2026-07-03 08:16:00
I-289,Zona_12,-38.7085,-72.5812,Baja,Inundacion,2026-07-03 02:39:00
I-290,Zona_05,-38.7157,-72.5336,Crítica,Medico,2026-07-02 13:02:00
I-291,Zona_18,-38.7973,-72.6202,Alta,Incendio,2026-07-03 07:48:00
I-292,Zona_19,-38.7004,-72.5706,Media,Accidente Vial,2026-07-02 22:02:00
I-293,Zona_20,-38.7789,-72.5086,Baja,Inundacion,2026-07-05 16:46:00
I-294,Zona_09,-38.7601,-72.6171,Baja,Medico,2026-07-06 01:14:00
I-295,Zona_10,-38.7621,-72.5672,Alta,Rescate,2026-07-05 07:56:00
I-296,Zona_05,-38.7361,-72.6462,Crítica,Incendio,2026-07-02 08:46:00
I-297,Zona_01,-38.7191,-72.649,Baja,Inundacion,2026-07-05 13:10:00
I-298,Zona_14,-38.7907,-72.6355,Crítica,Rescate,2026-07-03 11:21:00
I-299,Zona_10,-38.7194,-72.5453,Alta,Inundacion,2026-07-03 10:31:00
I-300,Zona_02,-38.7085,-72.5812,Media,Medico,2026-07-01 19:35:00
I-301,Zona_02,-38.7004,-72.5706,Baja,Rescate,2026-07-04 20:21:00
I-302,Zona_14,-38.7829,-72.5406,Crítica,Inundacion,2026-07-05 02:22:00
I-303,Zona_09,-38.7829,-72.5406,Media,Inundacion,2026-07-03 16:32:00
I-304,Zona_14,-38.735,-72.5683,Baja,Rescate,2026-07-03 07:07:00
I-305,Zona_19,-38.7002,-72.5736,Crítica,Inundacion,2026-07-05 04:38:00
I-306,Zona_02,-38.7601,-72.6171,Media,Accidente Vial,2026-07-03 02:06:00
I-307,Zona_01,-38.7085,-72.5812,Media,Rescate,2026-07-01 15:28:00
I-308,Zona_05,-38.7907,-72.6355,Alta,Rescate,2026-07-05 16:46:00
I-309,Zona_01,-38.7295,-72.6431,Crítica,Accidente Vial,2026-07-02 00:22:00
I-310,Zona_13,-38.766,-72.6267,Media,Inundacion,2026-07-02 01:38:00
I-311,Zona_12,-38.7789,-72.5086,Baja,Accidente Vial,2026-07-06 01:46:00
I-312,Zona_14,-38.7936,-72.5928,Baja,Accidente Vial,2026-07-01 13:46:00
I-313,Zona_11,-38.7578,-72.6455,Crítica,Inundacion,2026-07-06 05:42:00
